               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046085,            0.062627,            0.018974,             0.72573,             0.63675,               0.718,             0.47664,            0.041006,            0.036956,           0.0094246,              0.0007,              0.0007,              0.0937
                   1,            0.044632,            0.068965,            0.017133,             0.75437,             0.65169,             0.74687,             0.49065,            0.040346,             0.03671,           0.0084165,            0.001495,            0.001495,            0.086495
                   2,            0.044877,            0.063941,             0.01598,             0.80887,             0.65355,              0.7665,               0.505,            0.040271,            0.035741,           0.0077158,           0.0022848,           0.0022848,            0.079285
                   3,            0.045025,             0.06007,             0.01506,             0.74133,             0.69203,             0.75675,             0.49442,            0.040733,             0.03524,            0.007146,           0.0030693,           0.0030693,            0.072069
                   4,            0.045057,            0.063072,            0.013876,             0.70555,             0.70594,             0.77108,             0.48222,            0.040902,            0.035076,           0.0067197,           0.0038485,           0.0038485,            0.064849
                   5,            0.044837,            0.065627,            0.012916,             0.74767,             0.72437,             0.79533,             0.50442,            0.041182,            0.035133,           0.0063843,           0.0046225,           0.0046225,            0.057622
                   6,            0.045558,            0.054095,            0.013606,             0.73298,             0.72277,             0.77469,             0.44468,             0.04849,            0.033214,           0.0061523,           0.0053911,           0.0053911,            0.050391
                   7,            0.052468,            0.055818,            0.011354,             0.66542,             0.71499,             0.73555,             0.43565,            0.052814,            0.031732,           0.0057869,           0.0061545,           0.0061545,            0.043154
                   8,            0.050199,            0.056494,            0.011727,             0.74294,             0.70595,             0.78202,             0.45746,            0.048313,            0.032794,           0.0058015,           0.0069126,           0.0069126,            0.035913
                   9,            0.051194,            0.051724,            0.010993,             0.75892,             0.72229,              0.7967,             0.48321,             0.04739,            0.031311,           0.0054771,           0.0076654,           0.0076654,            0.028665
                  10,            0.047986,             0.05397,            0.011445,             0.70812,             0.75823,             0.79074,             0.50495,            0.046865,            0.031253,           0.0058313,           0.0084129,           0.0084129,            0.021413
                  11,            0.048839,            0.053829,            0.010282,             0.70868,             0.71918,             0.78103,             0.46447,            0.047603,            0.031741,           0.0058741,           0.0091552,           0.0091552,            0.014155
                  12,            0.049984,            0.051767,            0.011419,             0.71048,             0.72912,             0.76763,             0.46567,            0.049803,            0.033216,           0.0069804,            0.009604,            0.009604,            0.009604
                  13,            0.052765,            0.058139,             0.01169,             0.66892,             0.74055,             0.76327,             0.46742,            0.048078,            0.032513,           0.0068806,            0.009604,            0.009604,            0.009604
                  14,            0.052765,            0.053416,            0.011096,             0.65199,             0.64343,             0.69256,             0.38785,            0.053253,            0.034077,           0.0074756,            0.009571,            0.009571,            0.009571
                  15,            0.051995,            0.052812,            0.011987,             0.77196,             0.64894,             0.75039,             0.46731,            0.046319,            0.032665,           0.0078617,            0.009538,            0.009538,            0.009538
                  16,            0.047542,            0.047746,             0.01159,             0.60672,             0.52075,              0.5979,             0.34514,            0.051297,            0.047639,             0.01647,            0.009505,            0.009505,            0.009505
                  17,             0.04895,            0.057274,            0.012982,             0.76561,             0.73608,             0.79424,             0.49272,            0.043437,            0.030337,           0.0058534,            0.009472,            0.009472,            0.009472
                  18,            0.047116,            0.058441,            0.011485,             0.76096,             0.67278,             0.73141,             0.46075,            0.045036,            0.037827,           0.0096321,            0.009439,            0.009439,            0.009439
                  19,            0.046257,            0.055716,            0.011334,             0.70733,             0.66542,             0.74409,             0.44395,            0.044002,            0.035856,           0.0088319,            0.009406,            0.009406,            0.009406
                  20,            0.047561,            0.050187,            0.011187,             0.77778,             0.72247,             0.80027,             0.48006,            0.046576,            0.031306,           0.0060457,            0.009373,            0.009373,            0.009373
                  21,            0.050323,            0.051844,           0.0094674,             0.76773,             0.74949,             0.81602,             0.50667,            0.045338,            0.030061,           0.0054785,             0.00934,             0.00934,             0.00934
                  22,            0.050303,            0.050803,            0.010396,             0.76876,             0.78033,             0.83705,              0.4982,            0.045763,             0.02945,           0.0052634,            0.009307,            0.009307,            0.009307
                  23,            0.048181,            0.051029,            0.010985,             0.81695,             0.76822,             0.87312,             0.54474,            0.041124,            0.029983,           0.0052647,            0.009274,            0.009274,            0.009274
                  24,            0.044009,            0.048335,            0.010283,             0.74088,             0.80121,               0.833,             0.53601,            0.042021,            0.029703,           0.0053234,            0.009241,            0.009241,            0.009241
                  25,            0.045945,            0.048485,           0.0091765,             0.77332,              0.7573,             0.83266,             0.52655,            0.044518,            0.030069,            0.005157,            0.009208,            0.009208,            0.009208
                  26,            0.046671,            0.052746,           0.0094418,             0.79968,             0.80989,             0.87492,             0.53539,            0.040995,            0.029396,           0.0048531,            0.009175,            0.009175,            0.009175
                  27,            0.042981,            0.044866,            0.010225,             0.82999,              0.7747,             0.87583,             0.55905,            0.040902,            0.028082,           0.0048459,            0.009142,            0.009142,            0.009142
                  28,            0.046309,            0.048774,           0.0093564,              0.7675,             0.78529,             0.84722,             0.51201,             0.04213,            0.028613,           0.0047609,            0.009109,            0.009109,            0.009109
                  29,            0.043719,            0.047884,           0.0096155,             0.74385,             0.77627,             0.84093,             0.51272,            0.045452,            0.029056,           0.0046898,            0.009076,            0.009076,            0.009076
                  30,             0.04843,            0.049686,           0.0089845,             0.80862,             0.74284,             0.84753,             0.53361,            0.043859,            0.028071,           0.0045945,            0.009043,            0.009043,            0.009043
                  31,            0.046098,            0.049506,           0.0089895,             0.78979,             0.75849,             0.86297,             0.53668,            0.042585,             0.02927,           0.0047756,             0.00901,             0.00901,             0.00901
                  32,            0.047141,            0.048776,           0.0092923,             0.80782,             0.77642,             0.86303,             0.51688,            0.041809,            0.028602,           0.0048333,            0.008977,            0.008977,            0.008977
                  33,            0.044285,            0.049681,           0.0090359,               0.891,             0.78108,             0.89821,             0.56662,            0.038486,            0.029162,           0.0047317,            0.008944,            0.008944,            0.008944
                  34,            0.041433,            0.043715,           0.0081752,              0.8698,             0.76051,             0.89006,             0.56276,            0.039698,            0.027788,           0.0045035,            0.008911,            0.008911,            0.008911
                  35,             0.04368,            0.045835,           0.0086746,             0.78498,             0.78964,             0.86707,              0.5413,            0.041769,            0.027611,           0.0044119,            0.008878,            0.008878,            0.008878
                  36,            0.044305,            0.046673,           0.0077571,             0.81308,             0.79255,             0.87602,             0.54438,            0.041058,            0.027357,           0.0044709,            0.008845,            0.008845,            0.008845
                  37,            0.043529,            0.042175,           0.0084748,             0.75508,             0.85124,             0.89133,              0.5853,            0.039278,            0.026073,           0.0043819,            0.008812,            0.008812,            0.008812
                  38,            0.041981,            0.042709,           0.0080563,             0.74743,             0.86613,             0.87684,             0.57563,            0.038692,             0.02626,           0.0044337,            0.008779,            0.008779,            0.008779
                  39,            0.040944,            0.040805,           0.0076851,             0.76834,             0.83647,             0.88407,              0.5631,            0.040124,            0.026331,            0.004257,            0.008746,            0.008746,            0.008746
                  40,            0.044454,            0.049152,           0.0085314,             0.78193,             0.85199,             0.90384,             0.58826,            0.038375,            0.025814,           0.0043255,            0.008713,            0.008713,            0.008713
                  41,            0.040785,            0.041179,            0.007158,              0.8238,              0.8462,             0.91253,             0.60118,            0.039272,            0.025303,           0.0042508,             0.00868,             0.00868,             0.00868
                  42,            0.042865,            0.042505,            0.008468,             0.79142,             0.87271,             0.89215,             0.58921,            0.038548,            0.025169,           0.0042381,            0.008647,            0.008647,            0.008647
                  43,            0.043539,            0.043297,           0.0073788,               0.813,              0.8493,             0.89494,             0.58356,            0.039803,            0.025852,           0.0041602,            0.008614,            0.008614,            0.008614
                  44,            0.040719,            0.045508,           0.0075763,             0.77579,             0.84247,             0.89041,              0.5626,             0.04042,            0.025061,           0.0040463,            0.008581,            0.008581,            0.008581
                  45,            0.044269,            0.044695,           0.0074326,             0.77333,             0.88413,             0.90087,             0.58826,            0.038117,            0.024849,           0.0041421,            0.008548,            0.008548,            0.008548
                  46,            0.040966,            0.047034,           0.0083772,             0.79344,             0.88638,             0.91235,             0.60987,            0.035841,            0.024377,           0.0041814,            0.008515,            0.008515,            0.008515
                  47,            0.041331,             0.04367,           0.0082651,              0.7902,             0.87599,             0.90036,             0.60765,            0.036046,            0.024181,           0.0041334,            0.008482,            0.008482,            0.008482
                  48,            0.039769,            0.040851,           0.0075122,             0.79637,             0.87568,             0.91023,             0.60728,            0.036072,            0.024433,           0.0041622,            0.008449,            0.008449,            0.008449
                  49,            0.038996,            0.045371,           0.0076957,             0.78363,             0.88433,              0.9106,             0.61892,            0.035565,            0.024455,           0.0041354,            0.008416,            0.008416,            0.008416
                  50,            0.038682,             0.04269,            0.006907,             0.78179,             0.85869,             0.90903,             0.61147,            0.038366,            0.024815,           0.0040198,            0.008383,            0.008383,            0.008383
                  51,            0.043409,            0.045392,           0.0068295,             0.85103,             0.82833,             0.90747,             0.59011,            0.038721,            0.024768,           0.0040794,             0.00835,             0.00835,             0.00835
                  52,            0.041321,            0.043329,           0.0063829,             0.88891,             0.83723,              0.9171,             0.62571,            0.036708,            0.024233,           0.0040708,            0.008317,            0.008317,            0.008317
                  53,            0.041144,            0.043455,           0.0067004,             0.89559,             0.83745,                0.92,             0.58195,            0.038679,            0.024691,           0.0040917,            0.008284,            0.008284,            0.008284
                  54,            0.041266,            0.042515,           0.0065692,             0.87714,             0.85022,             0.91662,             0.61504,            0.039659,            0.024103,           0.0041413,            0.008251,            0.008251,            0.008251
                  55,            0.042421,            0.040711,           0.0073359,             0.88006,             0.84647,             0.91373,             0.61365,            0.036179,            0.023801,            0.004206,            0.008218,            0.008218,            0.008218
                  56,            0.040086,            0.042037,           0.0075939,             0.86565,             0.84993,             0.91974,             0.61396,            0.036701,            0.023989,           0.0041107,            0.008185,            0.008185,            0.008185
                  57,            0.041174,             0.04367,           0.0067144,             0.86126,              0.8649,              0.9295,              0.5996,             0.03627,            0.023802,           0.0040748,            0.008152,            0.008152,            0.008152
                  58,            0.039808,            0.040665,           0.0078174,             0.87077,             0.87309,             0.93202,             0.65571,            0.033162,            0.023553,           0.0040549,            0.008119,            0.008119,            0.008119
                  59,            0.039143,            0.042783,           0.0070012,             0.88306,             0.85102,              0.9255,             0.63939,            0.033534,            0.023262,           0.0039404,            0.008086,            0.008086,            0.008086
                  60,            0.039999,            0.039281,           0.0072027,             0.84283,             0.88002,             0.93172,             0.64138,            0.034572,            0.023344,           0.0038672,            0.008053,            0.008053,            0.008053
                  61,            0.038153,            0.040867,           0.0062039,             0.85412,             0.88441,             0.93337,             0.65299,            0.033249,            0.023246,           0.0038149,             0.00802,             0.00802,             0.00802
                  62,             0.03844,            0.045317,           0.0063965,             0.86067,             0.89093,             0.93421,             0.64889,            0.033065,            0.022728,           0.0038148,            0.007987,            0.007987,            0.007987
                  63,            0.038273,             0.04116,           0.0060705,              0.8662,             0.89148,             0.92333,             0.63306,            0.034442,            0.022573,           0.0037666,            0.007954,            0.007954,            0.007954
                  64,            0.041018,            0.040737,           0.0067019,              0.8455,             0.89483,             0.92669,             0.64237,            0.033679,            0.022601,           0.0037529,            0.007921,            0.007921,            0.007921
                  65,            0.038304,            0.042956,           0.0066331,             0.87973,             0.86919,             0.93087,             0.64723,            0.033908,             0.02296,            0.003766,            0.007888,            0.007888,            0.007888
                  66,            0.037925,            0.041292,           0.0065774,             0.90236,             0.87686,             0.93891,             0.66056,            0.032349,            0.022622,           0.0037715,            0.007855,            0.007855,            0.007855
                  67,            0.039131,            0.045071,           0.0067566,             0.89406,             0.86258,             0.93321,             0.63132,            0.035359,            0.023117,           0.0037672,            0.007822,            0.007822,            0.007822
                  68,            0.040141,            0.040309,            0.007073,             0.88872,             0.86667,             0.94079,             0.64905,            0.033465,            0.023055,           0.0038383,            0.007789,            0.007789,            0.007789
                  69,            0.039455,            0.043926,           0.0066244,             0.86552,             0.89344,             0.94275,              0.6524,             0.03301,            0.022819,           0.0039023,            0.007756,            0.007756,            0.007756
                  70,            0.038417,             0.04089,           0.0068474,             0.88622,             0.89023,             0.94409,             0.66116,            0.031375,            0.022374,           0.0039055,            0.007723,            0.007723,            0.007723
                  71,            0.035683,            0.040915,           0.0066602,             0.89519,             0.87959,             0.94835,             0.66382,            0.031658,             0.02218,           0.0038077,             0.00769,             0.00769,             0.00769
                  72,             0.03455,            0.037135,           0.0060349,             0.90975,              0.8822,              0.9501,             0.67859,            0.030884,            0.022097,           0.0036926,            0.007657,            0.007657,            0.007657
